,bathrooms,bedrooms,hometype,latitude,longitude,price,lotAreaValue
376,2,2.0,CONDO,43.684093,-79.51673,649000,
377,2,4.0,SINGLE_FAMILY,43.651413,-79.44835,1599000,2100.0
378,2,3.0,TOWNHOUSE,43.809937,-79.35899,599900,
379,1,1.0,CONDO,43.673553,-79.46187,532000,
380,1,0.0,CONDO,43.641426,-79.401215,450000,
381,0,,CONDO,43.647274,-79.39084,39888,
382,2,3.0,SINGLE_FAMILY,43.755356,-79.52199,1088888,3610.5069
383,2,3.0,SINGLE_FAMILY,43.736763,-79.296875,988000,
384,4,5.0,SINGLE_FAMILY,43.66181,-79.35134,1289000,
385,4,6.0,SINGLE_FAMILY,43.79159,-79.1743,1598900,
386,2,4.0,SINGLE_FAMILY,43.717995,-79.394775,3300000,
387,2,3.0,CONDO,43.68591,-79.274124,849900,
388,1,1.0,CONDO,43.65101,-79.36793,579000,
389,4,4.0,SINGLE_FAMILY,43.700405,-79.437355,2280000,5258.0
390,2,2.0,CONDO,43.641968,-79.412926,829900,
391,2,3.0,CONDO,43.706524,-79.39202,1118000,
392,1,2.0,CONDO,43.773167,-79.41544,649000,
393,2,3.0,CONDO,43.795806999999996,-79.32518,699900,
394,2,3.0,CONDO,43.643063,-79.42813,939000,
395,3,3.0,TOWNHOUSE,43.79325,-79.237206,799000,
396,1,1.0,CONDO,43.66767,-79.38642,779000,
397,2,3.0,CONDO,43.652805,-79.35539,899000,
398,1,1.0,CONDO,43.80687,-79.265305,515000,
399,4,3.0,TOWNHOUSE,43.692413,-79.50682,790000,
400,1,1.0,CONDO,43.66509,-79.459694,739000,
401,2,2.0,CONDO,43.71481,-79.47988,670000,
402,2,1.0,TOWNHOUSE,43.700756,-79.44387,529900,
403,2,3.0,CONDO,43.640057,-79.58135,639000,
404,2,2.0,CONDO,43.69245,-79.468414,630000,
405,1,2.0,CONDO,43.735962,-79.48376,590000,
406,2,2.0,CONDO,43.75108,-79.46573,619900,
407,2,2.0,CONDO,43.76141,-79.409805,948800,
408,1,2.0,CONDO,43.65278,-79.369026,1079000,
409,2,2.0,CONDO,43.69676,-79.39179,875000,
410,4,4.0,CONDO,43.67126,-79.393906,3300000,
411,2,3.0,CONDO,43.732384,-79.44663,899000,
412,4,3.0,TOWNHOUSE,43.688377,-79.38971,2149000,
413,1,1.0,CONDO,43.648014,-79.39689,649999,
414,2,2.0,CONDO,43.643288,-79.42779,749000,
415,3,2.0,TOWNHOUSE,43.71162,-79.395515,1450000,
416,1,1.0,CONDO,43.6632,-79.37777,629900,
417,1,2.0,CONDO,43.73276,-79.34566,498000,
418,2,2.0,CONDO,43.645428,-79.391075,869900,
419,2,2.0,CONDO,43.63531,-79.402084,1198000,
420,1,2.0,CONDO,43.70308,-79.252716,539900,
421,2,2.0,CONDO,43.772743,-79.45219,739000,
422,2,2.0,CONDO,43.643555,-79.37401,1598000,
423,2,3.0,CONDO,43.64738,-79.387276,1719000,
424,2,3.0,CONDO,43.64172,-79.3815,799000,
425,1,2.0,CONDO,43.779747,-79.418144,694900,
426,0,,CONDO,43.7146,-79.35439,54800,
427,2,2.0,CONDO,43.6883,-79.397095,1085000,
428,2,2.0,CONDO,43.674786,-79.38513,998000,
429,1,0.0,CONDO,43.657494,-79.374374,459000,
430,2,2.0,CONDO,43.651222,-79.36712,949900,
431,2,1.0,CONDO,43.643948,-79.401474,1049000,
432,1,1.0,CONDO,43.661007,-79.36035,649900,
433,1,1.0,CONDO,43.64505,-79.398834,599000,
434,2,2.0,CONDO,43.639698,-79.40651,809900,
435,1,2.0,CONDO,43.747856,-79.28626,550000,
436,1,1.0,CONDO,43.777615,-79.414,599000,
437,3,2.0,CONDO,43.64905,-79.386154,1849000,
438,1,2.0,CONDO,43.64292,-79.40184,899000,
439,4,8.0,MULTI_FAMILY,43.63757,-79.48588,2595000,
440,4,4.0,SINGLE_FAMILY,43.681297,-79.52684,2450000,
441,2,3.0,SINGLE_FAMILY,43.7687,-79.25147,1038800,
442,3,4.0,SINGLE_FAMILY,43.693005,-79.261986,979000,
443,2,4.0,SINGLE_FAMILY,43.75559,-79.31153,1149900,
444,7,6.0,SINGLE_FAMILY,43.759075,-79.39205,6799000,
